confident,lead,flagship_line,alias_terms,code,score,runner_up,reasons,keys
true,hovding,HOVDING NORWEGIAN AQUAVIT,hovding norwegian aquavit,34697,10,,sizes:1,hovding|hovding norwegian
true,howler,HOWLER HEAD BANANA BOURBON,howler head banana bourbon,21774,32,HOWLER HEAD 10PK (10),sizes:4|flavors:1,howler|howler head
true,hpnotiq,HPNOTIQ,hpnotiq,891,60,,sizes:6,hpnotiq
true,hrvatska,HRVATSKA STARA BADEL SLJIVOVIC,hrvatska stara badel sljivovic,32369,10,,sizes:1,hrvatska|hrvatska stara
true,hudson,HUDSON BRIGHT LIGHTS BIG BBN,hudson bright lights big bbn,12985,10,,sizes:1,hudson|hudson bright
true,hugh,HUGH HAMER DOUBLE OAKED BBN,hugh hamer double oaked bbn,35862,10,HUGH HAMER RUM BRRL FINISH BBN (2),sizes:1,hugh|hugh hamer
true,hunter,HUNTER RYE,hunter rye,10743,10,,sizes:1,hunter|hunter rye
true,hurst,HURST KNOLL KY STRT RYE WHISKY,hurst knoll ky strt rye,36224,10,,sizes:1,hurst|hurst knoll
true,ice,ICE BOX MUDSLIDE,ice box mudslide,93556,40,ICE HOLE MINT (22),sizes:4,ice|ice hole|ice box
true,iceberg,ICEBERG VODKA,iceberg vodka,3881,20,,sizes:2,iceberg
true,ide,IDE STILLS IRISH WHISKEY,ide stills irish whiskey,30799,30,IDE STILLS ORANGE IRISH WSKY (2),sizes:3,ide|ide stills
true,identity,IDENTITY ANEJO CRISTALINO TEQ,identity anejo cristalino teq,26765,10,,sizes:1,identity|identity anejo
true,idle,IDLE HANDS BOURBON 5 YR,idle hands bourbon yr,32316,0,,sizes:1|aged,idle|idle hands
true,iichiko,IICHIKO SHOCHU SAITEN,iichiko shochu saiten,30905,20,IICHIKO SILHOUETTE SHOCHU (10),sizes:2,iichiko|iichiko shochu|iichiko silhouette
true,il,IL TRAMONTO LIMONCELLO,il tramonto limoncello,7511,22,IL MALLO NOCINO ITALIAN LIQ (10),sizes:3|flavors:1,
true,iliria,ILIRIA RAKI RRUSHIT,iliria raki rrushit,10537,10,,sizes:1,iliria|iliria raki
true,immortal,IMMORTAL CLAN SCOTCH,immortal clan scotch,74427,-990,,sizes:1|combo,immortal|immortal clan
true,imperial,IMPERIAL,imperial,4088,20,,sizes:2,imperial
true,independence,INDEPENDENCE IRISH WHISKEY,independence irish whiskey,33444,20,,sizes:2,independence|independence irish
true,indoggo,INDOGGO STRAWBERRY GIN,indoggo strawberry gin,22777,2,,sizes:1|flavors:1,indoggo|indoggo strawberry
true,infuse,INFUSE SPIRITS CINNAMON APPLE,infuse spirits cinnamon apple,28495,-6,,sizes:1|flavors:2,infuse
true,inver,INVER HOUSE VERY RARE,inver house very rare,19467,20,,sizes:2,inver|inver house
true,inverdarach,INVERDARACH WING WOMAN RESERVE,inverdarach wing woman reserve,34374,2,,sizes:1|flavors:1,inverdarach|inverdarach wing
true,inverroche,INVERROCHE CLASSIC GIN,inverroche classic gin,36273,10,,sizes:1,inverroche|inverroche classic
true,iris,IRIS VALLEY TENNESSEE BOURBON,iris valley tennessee bourbon,101878,20,,sizes:2,iris|iris valley
true,irish,IRISH MANOR IRISH CREAM,irish manor irish cream,26322,22,IRISH MIST IRE HONEY (12),sizes:3|flavors:1,irish|irish manor|irish rover|irish mist
true,ironfish,IRONFISH WHIRLIGIG GIN,ironfish whirligig gin,34570,10,,sizes:1,ironfish|ironfish whirligig
true,isaac,ISAAC BOWMAN PORT FINISH BBN,isaac bowman port finish bbn,35021,10,,sizes:1,isaac|isaac bowman
true,ishtar,ISHTAR ARAK SPECIAL,ishtar arak special,24617,20,,sizes:2,ishtar|ishtar arak
true,islandjon,ISLANDJON VODKA,islandjon vodka,28865,20,ISLANDJON APPLE GWAYAV (2),sizes:2,islandjon|islandjon apple|islandjon mango|islandjon coconut
true,j,J DANIELS OLD 7 BLACK TN,daniels old black tn,9127,70,J DANIELS TENNESSEE APPLE (62),sizes:7,
true,jack,JACK DANIEL S TENNESSEE BLACKBERRY,jack daniel tennessee blackberry,100581,32,JACK DANIELS BONDED (12),sizes:4|flavors:1,jack|jack daniel|jack daniels
true,jacob,JACOB S PARDON SHERRY CASK FIN,jacob pardon sherry cask fin,35940,10,JACOB S PARDON SM BTCH NO3 18Y (2),sizes:1,jacob
true,jacobs,JACOBS PARDON SM BTCH WSKY NO2,jacobs pardon sm btch wsky,25473,2,,sizes:1|flavors:1,jacobs|jacobs pardon
true,jacques,JACQUES BONET BRANDY,jacques bonet brandy,99740,10,,sizes:1,jacques|jacques bonet
true,jacquins,JACQUINS BLACKBERRY BRANDY,jacquins blackberry brandy,35221,2,,sizes:1|flavors:1,jacquins|jacquins blackberry
true,jagermeister,JAGERMEISTER LIQ GER,jagermeister liq ger,64207,70,JAGERMEISTER MINI MEISTERS (10),sizes:7,jagermeister|jagermeister united|jagermeister orange|jagermeister liq|jagermeister mini|jagermeister cold|jagermeister green
true,jaja,JAJA BLANCO,jaja blanco,18528,10,,sizes:1,jaja|jaja blanco
true,jamaica,JAMAICA 18X77 XO RUM,jamaica 18x77 xo rum,33280,10,,sizes:1,jamaica|jamaica 18x77
true,james,JAMES FOXE CANADIAN,james foxe canadian,99630,20,JAMES E PEPPER GOLD FALL 2025 (10),sizes:2,james|james ownby|james foxe
true,jameson,JAMESON IRISH,jameson irish,25467,60,JAMESON ORANGE (42),sizes:6,jameson|jameson major|jameson triple|jameson distiller|jameson black|jameson caskmates|jameson 18|jameson cold|jameson orange|jameson irish|jameson blk
true,jamun,JAMUN DRY GIN,jamun dry gin,36814,10,,sizes:1,jamun|jamun dry
true,jarana,JARANA BLANCO,jarana blanco,22273,10,,sizes:1,jarana|jarana blanco
true,jd,JD CORSETS WHIPS HONEY WSKY,jd corsets whips honey wsky,35717,2,,sizes:1|flavors:1,
true,jean,JEAN MARC XO VODKA,jean marc xo vodka,2876,10,,sizes:1,jean|jean marc
true,jeffersons,JEFFERSONS OCN CSK STRNGTH V27,jeffersons ocn csk strngth v27,27692,10,,sizes:1,jeffersons|jeffersons ocn
true,jesse,JESSE JAMES AMER OUTLAW 90 PRF,jesse james amer outlaw 90,31844,20,JESSE JAMES BOURBON WHISKEY (10),sizes:2,jesse|jesse james
true,jewel,JEWEL LINES PRECIOUS VDKA,jewel lines precious vdka,33662,20,JEWEL LINES PRECIOUS VDKA DIAM (10),sizes:2,jewel|jewel lines
true,jiangxiang,JIANGXIANG JINSHA GU BAIJIU,jiangxiang jinsha gu baijiu,31679,10,,sizes:1,jiangxiang|jiangxiang jinsha
true,jim,JIM BEAM,jim beam,9247,70,JIM BEAM APPLE (52),sizes:7,jim|jim beam
true,jimmy,JIMMY RACK CSK STRNGTH RYE WKY,jimmy rack csk strngth rye,32006,10,,sizes:1,jimmy|jimmy rack
true,jinkoo,JINKOO IMO SHOCHU,jinkoo imo shochu,33072,10,,sizes:1,jinkoo|jinkoo imo
true,john,JOHN BARR RESERVE,john barr reserve,13841,22,JOHN BEGG BLUE CAP (10),sizes:3|flavors:1,john|john barr|john lee|john watling|john begg|john taylor
true,joker,JOKER S BLUFF BOURBON WHISKEY,joker bluff bourbon whiskey,33959,10,,sizes:1,joker
true,jon,JON RYE BLEND OF STRT WHISKIES,jon rye blend of strt,100680,20,,sizes:2,jon|jon rye
true,jonah,JONAH S CURSE BLACK SPICED RUM,jonah curse black spiced rum,27575,12,JONAH S CURSE BLACK COFFEE RUM (2),sizes:2|flavors:1,jonah
true,journeyman,JOURNEYMAN DISTILLERY GRAND SUMMER GIN,journeyman distillery grand summer gin,101517,20,JOURNEYMAN W R (10),sizes:2,journeyman|journeyman distillery|journeyman not|journeyman bilberry|journeyman buggy|journeyman corset|journeyman featherbone|journeyman field|journeyman humdinger|journeyman last|journeyman pit|journeyman red|journeyman road|journeyman silver|journeyman snaggle|journeyman old|journeyman high
true,juarez,JUAREZ SILVER,juarez silver,60157,30,JUAREZ GOLD (20),sizes:3,juarez|juarez silver|juarez triple|juarez gold
